"","gesture_id","gesture_type","gesture_match","n_fixations","total_duration","mean_duration"
"1","01","m","Y",47,114.855,2.44372340425532
"2","03","m","Y",50,113.361,2.26722
"3","06","m","Y",54,187.674,3.47544444444444
"4","07","s","Y",89,198.798,2.23368539325843
"5","10","s","N",40,147.647,3.691175
"6","12","s","Y",60,187.496,3.12493333333333
"7","13","m","Y",88,260.223,2.95707954545455
"8","14","s","N",39,187.157,4.79889743589744
"9","15","m","Y",34,163.937,4.82167647058824
"10","18","s","Y",54,137.759,2.55109259259259
"11","19","m","N",69,162.752,2.35872463768116
"12","22","m","N",56,155.322,2.77360714285714
