ID,date,age,gender,native_lang,dom_hand,years_of_education,corsi
G001,07/04/2025,21,m,rus,r,13,7
G002,12/04/2025,20,f,rus,l,13,7
G003,14/04/2025,20,f,rus,r,13,4
G004,15/04/2025,18,f,rus,l,11,5
G005,15/04/2025,23,m,rus,r,15,9
G006,18/04/2025,20,m,rus,r,13,7
G007,19/04/2025,23,m,rus,r,15,6
G008,19/04/2025,22,m,rus,r,15,9
G009,22/04/2025,21,f,rus,r,13,5
G010,22/04/2025,22,f,rus,r,14,6
G011,23/04/2025,23,m,rus,r,15,6
G013,24/04/2025,21,f,rus,r,14,3
G014,14/05/2025,22,f,rus,r,14,6
G015,15/05/2025,20,f,rus,r,12,6
