seconds	timestamp	event
14.885	0:00:14.885	01-mY.start
15.86	0:00:15.860	01-mY.end
28.51	0:00:28.510	02-sN.start
                30.11	0:00:30.110	02-sN.end
31.94	0:00:31.940	03-mY.start
                33.265	0:00:33.265	03-mY.end
37.81	0:00:37.810	04-mN.start
                40.11	0:00:40.110	04-mN.end
45.335	0:00:45.335	05-mN.start
                46.94	0:00:46.940	05-mN.end
48.61	0:00:48.610	06-mY.start
                50.505	0:00:50.505	06-mY.end
58.61	0:00:58.610	07-sY.start
                61.11	0:01:01.110	07-sY.end
61.805	0:01:01.805	08-sY.start
                63.055	0:01:03.055	08-sY.end
64.11	0:01:04.110	09-sN.start
                65.28	0:01:05.280	09-sN.end
68.61	0:01:08.610	10-sN.start
                69.475	0:01:09.475	10-sN.end
74.225	0:01:14.225	11-mN.start
                76.11	0:01:16.110	11-mN.end
81.88	0:01:21.880	12-sY.start
                83.49	0:01:23.490	12-sY.end
87.24	0:01:27.240	13-mY.start
                89.11	0:01:29.110	13-mY.end
97.3	0:01:37.300	14-sN.start
                98.11	0:01:38.110	14-sN.end
98.355	0:01:38.355	15-mY.start
                99.11	0:01:39.110	15-mY.end
111.35	0:01:51.350	16-sN.start
                111.11	0:01:51.110	16-sN.end
114.61	0:01:54.610	17-sY.start
                116.11	0:01:56.110	17-sY.end
117.61	0:01:57.610	18-sY.start
                118.61	0:01:58.610	18-sY.end
124.11	0:02:04.110	19-mN.start
                126.11	0:02:06.110	19-mN.end
129.78	0:02:09.780	20-sY.start
                130.61	0:02:10.610	20-sY.end
131.11	0:02:11.110	21-mY.start
                132.35	0:02:12.350	21-mY.end
133.11	0:02:13.110	22-mN.start
                134.61	0:02:14.610	22-mN.end
9.11	0:00:09.110	video.start
                137.086	0:02:17.086	video.end
